Internship ID,Internship Title,Company Name,Location,Skills Required,Duration (Months),Application Deadline,Eligibility,Internship Description,Stipend (INR/Month)
1,Database Intern,Cognizant,Hyderabad,"SQL, DevOps, Java, Machine Learning, Cloud Computing",6,2024-07-23,Any,Help in identifying and mitigating security threats and vulnerabilities.,113046
2,Database Intern,Mindtree,Pune,DevOps,1,2024-07-23,Postgraduate,Assist in database management and optimization tasks.,77439
3,Software Developer Intern,Tata Consultancy Services,Delhi,"CSS, JavaScript, SQL, Data Analysis, Git",11,2024-07-23,Any,Contribute to backend development and integration tasks.,36022
4,Frontend Developer Intern,Persistent Systems,Kolkata,"Git, C++, JavaScript, Cloud Computing, HTML",3,2024-07-23,Any,"Work on deployment, monitoring, and maintenance of systems.",66483
5,Cybersecurity Intern,Persistent Systems,Kolkata,"Python, CSS",4,2024-07-23,Any,Help in identifying and mitigating security threats and vulnerabilities.,79099
6,DevOps Intern,L&T Infotech,Chennai,"DevOps, CSS, Cybersecurity",2,2024-07-23,Any,Assist in analyzing and interpreting complex data to aid decision-making.,56523
7,Database Intern,HCL Technologies,Delhi,"SQL, C++, Python",6,2024-07-23,Postgraduate,Work on developing and maintaining software applications.,93375
8,Frontend Developer Intern,Tech Mahindra,Noida,Cloud Computing,7,2024-07-23,Any,Assist in database management and optimization tasks.,78435
9,DevOps Intern,Tata Consultancy Services,Noida,JavaScript,3,2024-07-23,Any,Help in designing and coding new features for web applications.,37267
10,Machine Learning Intern,Persistent Systems,Noida,"CSS, Data Analysis, JavaScript, Python, DevOps",12,2024-07-23,Undergraduate,"Work on deployment, monitoring, and maintenance of systems.",68890
11,AI Intern,Cognizant,Delhi,"JavaScript, Data Analysis, Cloud Computing, Java, Cybersecurity",4,2024-07-23,Postgraduate,Participate in machine learning model development and evaluation.,75862
12,Backend Developer Intern,Capgemini,Ahmedabad,"Machine Learning, JavaScript",2,2024-07-23,Undergraduate,Help in identifying and mitigating security threats and vulnerabilities.,79431
13,Cybersecurity Intern,Infosys,Hyderabad,"C++, Python, CSS, HTML",7,2024-07-23,Postgraduate,Help in identifying and mitigating security threats and vulnerabilities.,40089
14,Web Developer Intern,Mindtree,Hyderabad,"Cloud Computing, Data Analysis, Python",10,2024-07-23,Postgraduate,Support the frontend development team with user interface design and implementation.,115204
15,Frontend Developer Intern,Tata Consultancy Services,Gurgaon,"Data Analysis, Python",6,2024-07-23,Any,"Work on deployment, monitoring, and maintenance of systems.",80095
16,Web Developer Intern,Wipro,Kolkata,"Cloud Computing, CSS, DevOps",5,2024-07-23,Any,Support the frontend development team with user interface design and implementation.,29963
17,Data Scientist Intern,Capgemini,Chennai,Data Analysis,10,2024-07-23,Undergraduate,Assist in database management and optimization tasks.,115536
18,AI Intern,Tata Consultancy Services,Hyderabad,"CSS, Java, C++",6,2024-07-23,Undergraduate,Support AI model development and integration into applications.,74534
